,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento
46,BMW,K 1600 GT 2022,28.610 €,A,Touring,2022,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
47,BMW,C 400 GT 2021,7.990 €,A2,Scooter,2021,https://www.bmw-motorrad.es,350 cc,34 cv,775 mm
48,BMW,C 400 X 2021,6.990 €,A2,Scooter,2021,https://www.bmw-motorrad.es,350 cc,34 cv,775 mm
49,BMW,R 1250 RT 2021,21.275 €,A,Touring,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,805 mm
50,BMW,M 1000 RR 2021,37.780 €,A,Deportiva,2021,https://www.bmw-motorrad.es,999 cc,212 cv,832 mm
51,BMW,R18 Classic 2021,27.300 €,A,Custom,2021,https://www.bmw-motorrad.es,1.802 cc,91 cv,690 mm
52,BMW,S 1000 R 2021,15.650 €,A,Naked,2021,https://www.bmw-motorrad.es,999 cc,165 cv,814 mm
53,BMW,G 310 R 2021,5.590 €,A2,Naked,2021,https://www.bmw-motorrad.es,313 cc,34 cv,785 mm
54,BMW,G 310 GS 40 Aniversario,6.250 €,A2,Trail,2021,https://www.bmw-motorrad.es,313 cc,34 cv,835 mm
55,BMW,G 310 GS 2021,6.390 €,A2,Trail,2021,https://www.bmw-motorrad.es,313 cc,34 cv,835 mm
56,BMW,BMW R 1250 GS 40 Aniversario,20.100 €,A,Trail,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,952 mm
57,BMW,BMW R 1250 GS Adventure 2021,20.100 €,A,Trail,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,952 mm
58,BMW,BMW R 1250 GS 2021,18.350 €,A,Trail,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,850 mm
59,BMW,S 1000 XR 2021,18.800 €,A,Touring,2021,https://www.bmw-motorrad.es,999 cc,165 cv,840 mm
60,BMW,S 1000 RR 2021,21.350 €,A,Deportiva,2021,https://www.bmw-motorrad.es,999 cc,207 cv,824 mm
61,BMW,K 1600 B 2021,28.600 €,A,Touring,2021,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
62,BMW,R 1250 RS 2021,15.650 €,A,Deportiva,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,820 mm
63,BMW,R 1250 R 2021,14.900 €,A,Naked,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,820 mm
64,BMW,K 1600 GTL 2021,28.200 €,A,Touring,2021,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
65,BMW,K 1600 GT 2021,27.300 €,A,Touring,2021,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
66,BMW,F 850 GS Adventure 40 Aniversario,13.350 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,95 cv,875 mm
67,BMW,F 850 GS Adventure 2021,13.350 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,95 cv,875 mm
68,BMW,F 850 GS 40 Aniversario,12.100 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,95 cv,860 mm
69,BMW,F 850 GS 2021,12.100 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,95 cv,860 mm
70,BMW,F 750 GS 40 Aniversario,9.650 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,77 cv,815 mm
71,BMW,F 750 GS 2021,9.650 €,A/A2,Trail,2021,https://www.bmw-motorrad.es,853 cc,77 cv,815 mm
72,BMW,R18 2020,24.590 €,A,Custom,2020,https://www.bmw-motorrad.es,1.802 cc,91 cv,690 mm
73,BMW,F 900 XR 2020,11.950 €,A/A2,Touring,2019,https://www.bmw-motorrad.es,895 cc,105 cv,860 mm
74,BMW,F 900 R 2020,8.995 €,A/A2,Touring,2019,https://www.bmw-motorrad.es,895 cc,105 cv,815 mm
75,BMW,S 1000 XR 2020,17.200 €,A,Touring,2020,https://www.bmw-motorrad.es,999 cc,165 cv,840 mm
76,BMW,R Nine T Urban GS Puntapunta 2020,14.100 €,A / A2,Trail,2019,https://www.bmw-motorrad.es,1.170 cc,110 cv,850 mm
77,BMW,R NineT 5 2020,16.450 €,A,Naked,2019,https://www.bmw-motorrad.es,1.170 cc,110 cv,785 mm
78,BMW,R 1250 RT 2020,20.050 €,A,Touring,2019,https://www.bmw-motorrad.es,1.254 cc,136 cv,805 mm
79,BMW,K 1600 B Grand America 2020,29.927 €,A,Touring,2019,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
80,BMW,K 1600 B 2020,26.200 €,A,Touring,2019,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
81,BMW,K 1600 GTL 2020,27.100 €,A,Touring,2019,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
82,BMW,K 1600 GT 2020,26.200 €,A,Touring,2019,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm
83,BMW,S 1000 RR 2020,21.250 €,A,Deportiva,2020,https://www.bmw-motorrad.es,999 cc,207 cv,824 mm
84,BMW,S 1000 R 2020,15.650 €,A,Naked,2019,https://www.bmw-motorrad.es,999 cc,165 cv,814 mm
85,BMW,F 850 GS Rallye 2020,13.200 €,A/A2,Trail,2019,https://www.bmw-motorrad.es,853 cc,95 cv,860 mm
