,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Cilindrada,Potencia Máxima Declarada,Altura asiento,URL imágenes,URL logos
21,Aprilia,RSV4 RR 2017,20.537 €,A,Deportiva,2017,https://www.aprilia.com/es_ES/,999 cc,201 cv,845 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-rsv4-rr-2017.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
22,Aprilia,RSV4 RF 2017,24.037 €,A,Deportiva,2017,https://www.aprilia.com/es_ES/,999 cc,201 cv,845 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-rsv4-rf-2017.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
23,Aprilia,RS 125 2017,5.179 €,A1,Deportiva,2017,https://www.aprilia.com/es_ES/,124 cc,15 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia-rs125-2017.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
24,Aprilia,Dorsoduro 750,9.843 €,A/A2,Trail,2016,https://www.aprilia.com/es_ES/,749 cc,92 cv,870 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_dorsoduro_750_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
25,Aprilia,Mana 850 GT,11.111 €,A/A2,Trail,2016,https://www.aprilia.com/es_ES/,839 cc,76 cv,800 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_mana_850_gt_1.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
26,Aprilia,RS4 125,4.692 €,A1,Deportiva,2016,https://www.aprilia.com/es_ES/,124 cc,15 cv,820 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_rs_50_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
27,Aprilia,Caponord 1200,13.899 €,A,Trail,2016,https://www.aprilia.com/es_ES/,1.197 cc,125 cv,840 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_caponord_1200_2016_1.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
28,Aprilia,RSV 4 RF,23.900 €,A,Deportiva,2016,https://www.aprilia.com/es_ES/,999 cc,201 cv,845 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_rsv_4_rf_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
29,Aprilia,Dorsoduro 1200,13.293 €,A,Trail,2016,https://www.aprilia.com/es_ES/,1.197 cc,130 cv,870 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_dorsoduro_1200_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
30,Aprilia,Variant Sport 50,1.799 €,AM,Scooter,2016,https://www.aprilia.com/es_ES/,49 cc,4 cv,775 mm,https://motos-b60.kxcdn.com/sites/default/files/timthumb_int_83264a9824387b9fafd658cb831d9248.timthumb.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
31,Aprilia,RSV 4 Factory,19.599 €,A,Deportiva,2016,https://www.aprilia.com/es_ES/,999 cc,180 cv,845 mm,https://motos-b60.kxcdn.com/sites/default/files/Aprilia-RSV4-R-FW.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
32,Aprilia,SRV 850,9.999 €,A,Scooter,2016,https://www.aprilia.com/es_ES/,839 cc,76 cv,780 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_srv_850_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
33,Aprilia,SR Motard 125,2.399 €,A1,Scooter,2016,https://www.aprilia.com/es_ES/,124 cc,9 cv,775 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_sr_motard_125_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
34,Aprilia,SR Max 300,4.399 €,A2,Scooter,2016,https://www.aprilia.com/es_ES/,278 cc,22 cv,815 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_sr_max_300_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
35,Aprilia,Tuono V4 1100 RR,15.459 €,A,Deportiva,2016,https://www.aprilia.com/es_ES/,999 cc,175 cv,825 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_v4_tuono_1100_rr_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
36,Aprilia,Scarabeo 125,3.405 €,A1,Scooter,2016,https://www.aprilia.com/es_ES/,124 cc,14 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_scarabeo_125_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
37,Aprilia,Tuono V4 R APRC,16.899 €,A,Naked,2016,https://www.aprilia.com/es_ES/,999 cc,162 cv,840 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_tuono_v4_r_aprc_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
38,Aprilia,SR Max 125,3.978 €,A1,Scooter,2016,https://www.aprilia.com/es_ES/,124 cc,15 cv,815 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_sr_max_125.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
39,Aprilia,Shiver 750,7.999 €,A-A2,Naked,2016,https://www.aprilia.com/es_ES/,749 cc,95 cv,800 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_shiver_750_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
40,Aprilia,Scarabeo 50,2.247 €,AM,Scooter,2016,https://www.aprilia.com/es_ES/,49 cc,4 cv,780 mm,https://motos-b60.kxcdn.com/sites/default/files/aprilia_scarabeo_50_2016.jpg,https://motos-b60.kxcdn.com/sites/default/files/aprilia.png
41,BMW,K 1600 Grand America Opcion 719 Midnight,36.662 €,A,Touring,2022,https://www.bmw-motorrad.es,1.649 cc,160 cv,740 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-grand-america-opcion-719-2022.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
42,BMW,K 1600 B Opcion 719 Midnight,32.693 €,A,Touring,2022,https://www.bmw-motorrad.es,1.649 cc,160 cv,750 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-b-opcion-719-2022.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
43,BMW,K 1600 Grand America 2022,34.174 €,A,Touring,2022,https://www.bmw-motorrad.es,1.649 cc,160 cv,740 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-grand-america-2022.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
44,BMW,K 1600 B 2022,30.177 €,A,Touring,2022,https://www.bmw-motorrad.es,1.649 cc,160 cv,750 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-b-2022.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
45,BMW,K 1600 GTL 2022,31.409 €,A,Touring,2022,https://www.bmw-motorrad.es,1.649 cc,160 cv,750 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-gtl-2022.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
46,BMW,K 1600 GT 2022,28.610 €,A,Touring,2022,https://www.bmw-motorrad.es,1.649 cc,160 cv,810 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-k-1600-gt-2022.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
47,BMW,C 400 GT 2021,7.990 €,A2,Scooter,2021,https://www.bmw-motorrad.es,350 cc,34 cv,775 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-c-400-gt-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
48,BMW,C 400 X 2021,6.990 €,A2,Scooter,2021,https://www.bmw-motorrad.es,350 cc,34 cv,775 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-c-400-x-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
49,BMW,R 1250 RT 2021,21.275 €,A,Touring,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,805 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1250-rt-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
50,BMW,M 1000 RR 2021,37.780 €,A,Deportiva,2021,https://www.bmw-motorrad.es,999 cc,212 cv,832 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1000-rr-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
51,BMW,R18 Classic 2021,27.300 €,A,Custom,2021,https://www.bmw-motorrad.es,1.802 cc,91 cv,690 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-18-classic-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
52,BMW,S 1000 R 2021,15.650 €,A,Naked,2021,https://www.bmw-motorrad.es,999 cc,165 cv,814 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-s-1000-r.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
53,BMW,G 310 R 2021,5.590 €,A2,Naked,2021,https://www.bmw-motorrad.es,313 cc,34 cv,785 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-g-310-r-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
54,BMW,G 310 GS 40 Aniversario,6.250 €,A2,Trail,2021,https://www.bmw-motorrad.es,313 cc,34 cv,835 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-g-310-gs-40-aniversario-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
55,BMW,G 310 GS 2021,6.390 €,A2,Trail,2021,https://www.bmw-motorrad.es,313 cc,34 cv,835 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-g-310-gs-rallye-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
56,BMW,BMW R 1250 GS 40 Aniversario,20.100 €,A,Trail,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,952 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1250-gs-40-aniversario-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
57,BMW,BMW R 1250 GS Adventure 2021,20.100 €,A,Trail,2021,https://www.bmw-motorrad.es,1.254 cc,136 cv,952 mm,https://motos-b60.kxcdn.com/sites/default/files/bmw-r-1250-gs-adventure-2021.jpg,https://motos-b60.kxcdn.com/sites/default/files/logo_bmw.png
