,Marca de la moto,Modelo,Precio de la moto,Tipo de Carné,Tipo de moto,Versión / Año,Web del fabricante,Alimentación,Arranque,Carrera,Ciclo,Cilindrada,Combustible,Diámetro,Disposición,Distribución,Encendido,Número de cilindros,Número de válvulas por cilindro,Par Máximo Declarado,Potencia Máxima Declarada,Refrigeración,Régimen de par máximo,Regimen de potencia máxima,Embrague,Secundaria,Tipo,Tipo de accionamiento,Material,Basculante,Delantera barra,Delantera recorrido,Delantera tipo,Trasera recorrido,Trasera tipo,Delantera,Delantera llanta,Trasera,Trasera llanta,Asistencia a la frenada,Delantero diámetro,Delantero número de discos,Delantero pinza número de pistones,Delantero tipo,Trasero diámetro,Trasero pinza número de pistones,Trasero tipo,Altura asiento,Capacidad depósito,Distancia entre ejes,Longitud total,Número de velocidades,Avance,Lanzamiento,Delantera marca,Delantero marca pinza,Delantero pinza,Trasero marca pinza,Peso en seco declarado,Trasera marca,Delantero marca bomba,Tipo de motor eléctrico,Velocidad máxima carretera,Autonomía en ciudad,Tipo de batería,Capacidad,Tiempo de carga 100% (enchufe convencional),Tiempo de carga 80% (enchufe convencional),Tiempo de carga 100% (enchufe rápido),Tiempo de carga 80% (enchufe rápido),Distancia mínima al suelo,Autonomía en carretera
158,Ducati,Panigale V4 2022,27.390 €,A,Deportiva,2022,www.ducati.com/es/es/,Inyección electrónica,Eléctrico,"53,50 mm",Cuatro Tiempos,1.103 cc,Gasolina sin plomo 98,"81,00 mm",En V a 90 grados,Desmodrómica,Electrónico,4,4,124 nm,215 cv,Líquida,9.500 rpm,13.000 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena,"Tipo ""front frame"" con el motor como elemento estructural",Hidráulico,Aleación de aluminio,Monobrazo de aluminio,43 mm,125 mm,Horquilla invertida,130 mm,Amortiguador,120/70-17,"3,50x17",200/60-17,"6,00x17",ABS con asistencia en curva,330 mm,2,4,Disco,245 mm,2,Disco,850 mm,17 l,1.469 mm,,6,"100,00 mm","24,50 grados",Ohlins NPX25/30,Brembo Stylema,"Monobloque, anclaje radial",Sachs,174 kg,Ohlins TTX36,Brembo,,,,,,,,,,,
159,Ducati,Desert X 2022,16.290 €,A,Trail,2022,www.ducati.es,Inyección electrónica. Acelerador Ride by Wire,Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina Sin Plomo 95,"94,00 mm",En L,Desmodrómica,Electrónico,2,4,92 nm,110 cv,Líquida,6.500 rpm,9.250 rpm,Multidisco bañado en aceite con sistema antirrebote,Cadena,"Multitubular, tipo Trellis",Hidráulico,Acero,Doble brazo de aluminio,46 mm,230 mm,Horquilla invertida regulable,220 mm,Monoamortiguador ajustable,90/90-21,"2,15 x 21",150/70-18,"4,5 x 18",ABS con asistencia en curva,320 mm,2,4,Disco semiflotante,265 mm,2,Disco,875 mm,21 l,1.608 mm,,6,"122,00 mm","27,60 grados",KYB,Brembo,Monobloque radial,Brembo,202 kg,KYB,Brembo,,,,,,,,,,,
160,Ducati,Streetfighter V4 SP 2022,34.990 €,A,Naked,2022,http://www.ducati.es,Inyección electrónica,Eléctrico,"53,50 mm",Cuatro Tiempos,1.103 cc,Gasolina sin plomo 98,"81,00 mm",En V a 90 grados,Desmodrómica,Electrónico,4,4,123 nm,208 cv,Líquida,11.500 rpm,12.750 rpm,Multidisco en baño de aceite,Cadena,"Tipo ""front frame"" con el motor como elemento estructural",Mecánico asistido,Aleación de aluminio,Monobrazo de aluminio,43 mm,120 mm,Horquilla invertida,130 mm,Amortiguador,120/70-17,"3,50 x 17",200/60-17,"6,00 x 17",ABS con asistencia en curva,330 mm,2,4,Disco,245 mm,2,Disco,845 mm,16 l,1.488 mm,,6,"100,00 mm","24,50 grados",Ohlins NIX30 Electrónica,Brembo Stylema,"Monobloque, anclaje radial",Brembo,177 kg,Ohlins TTX36 Electrónica,Brembo,,,,,,,,,,,
161,Ducati,Streetfighter V2 2022,17.990 €,A,Naked,2022,www.ducati.com/es/es/,Inyección electrónica. Acelerador Ride by Wire,Eléctrico,"60,80 mm",Cuatro tiempos,955 cc,Gasolina Sin Plomo 95,"100,00 mm",En V,Desmodrómica,Electrónico digitalizado,2,4,101 nm,153 cv,Líquida,9.000 rpm,10.750 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo de aluminio,43 mm,120 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70 ZR 17,"17 x 3,50",180/60 ZR 17,"17 x 5,50",ABS,320 mm,2,4,Disco,245 mm,2,Disco,845 mm,17 l,1.465 mm,,6,"94,00 mm","24,00 grados",Showa BPF,Brembo Monobloque M4.32,Radial,Brembo,178 kg,Sachs,Brembo,,,,,,,,,,,
162,Ducati,Scrambler Urban Motard 2022,11.690 €,A/A2,Naked,2022,www.ducati.es,Inyección electrónica,Eléctrico,"66,00 mm",Cuatro Tiempos,803 cc,Gasolina sin plomo 95,"88,00 mm",En L,Desmodrómica,Electrónico,2,2,66 nm,73 cv,Aire,5.750 rpm,8.250 rpm,Multidisco en baño de aceite,Cadena,Multitubular,Mecánico,Acero,Doble brazo de acero,41 mm,150 mm,Horquilla invertida,150 mm,Amortiguador,120/70 R17,"3,00"" x 17""",180/55 R17,"5,50"" x 17""",ABS con asistencia en curva,330 mm,1,4,Disco,245 mm,1,Disco,805 mm,13 l,1.436 mm,2.100 mm,6,"112,00 mm","24,00 grados",Kayaba,,Radial,,189 kg,Kayaba,,,,,,,,,,,,
163,Ducati,Scrambler 1100 Tribute Pro 2022,14.290 €,A,Naked,2022,http://www.ducati.es,Inyección electrónica,Eléctrico,"71,00 mm",Cuatro Tiempos,1.079 cc,Gasolina sin plomo 95,"98,00 mm",En L,Desmodrómica,Electrónico,2,2,88 nm,86 cv,Aire,4.750 rpm,7.500 rpm,Multidisco en baño de aceite,Cadena,Multitubular,Manual,Acero,Doble brazo,45 mm,150 mm,Horquilla invertida Multirregulable,150 mm,Monoamortiguador,120/70-18,"3,50x18",180/55-17,"5,50x17",ABS con asistencia en curva,320 mm,2,4,Disco,245 mm,2,Disco,810 mm,15 l,1.514 mm,2.190 mm,6,"111,00 mm","24,50 grados",Marzocchi,Brembo,Radiales Monobloque,,194 kg,Kayaba,Brembo,,,,,,,,,,,
164,Ducati,Multistrada V4 S 2022,23.990 €,A,Trail,2022,www.ducati.com/es/,"Inyección electrónica, acelerador ""ride by wire""",Eléctrico,"53,00 mm",Cuatro Tiempos,1.158 cc,Gasolina sin plomo 95/98,"83,00 mm",En V a 90 grados,DOHC,Electrónico,4,4,125 nm,170 cv,Líquida,8.750 rpm,10.500 rpm,"Multidisco en baño de aceite, antirrebote",Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo,50 mm,,Horquilla invertida Electrónica completamente ajustable,,Monoamortiguador Electrónico completamente ajustable,120/70-19,3x19,170/60-17,"4,5x17",ABS con asistencia en curva,320 mm,2,4,Disco,265 mm,2,Disco,840 mm,22 l,1.567 mm,,6,"102,50 mm","24,50 grados",,Brembo M50 Stylema,Monobloque de anclaje radial,Brembo,218 kg,,Brembo,,,,,,,,,,,
165,Ducati,Multistrada V4 S Travel 2022,23.990 €,A,Trail,2022,www.ducati.com/es/,"Inyección electrónica, acelerador ""ride by wire""",Eléctrico,"53,00 mm",Cuatro Tiempos,1.158 cc,Gasolina sin plomo 95/98,"83,00 mm",En V a 90 grados,DOHC,Electrónico,4,4,125 nm,170 cv,Líquida,8.750 rpm,10.500 rpm,"Multidisco en baño de aceite, antirrebote",Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo,50 mm,,Horquilla invertida Electrónica completamente ajustable,,Monoamortiguador Electrónico completamente ajustable,120/70-19,3x19,170/60-17,"4,5x17",ABS con asistencia en curva,320 mm,2,4,Disco,265 mm,2,Disco,840 mm,22 l,1.567 mm,,6,"102,50 mm","24,50 grados",,Brembo M50 Stylema,Monobloque de anclaje radial,Brembo,218 kg,,Brembo,,,,,,,,,,,
166,Ducati,Multistrada V4 2022,20.890 €,A,Trail,2022,www.ducati.com/es/,"Inyección electrónica, acelerador ""ride by wire""",Eléctrico,"53,00 mm",Cuatro Tiempos,1.158 cc,Gasolina sin plomo 95/98,"83,00 mm",En V a 90 grados,DOHC,Electrónico,4,4,125 nm,170 cv,Líquida,8.750 rpm,10.500 rpm,"Multidisco en baño de aceite, antirrebote",Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo,50 mm,,Horquilla invertida completamente ajustable,,Monoamortiguador completamente ajustable,120/70-19,3x19,170/60-17,"4,5x17",ABS con asistencia en curva,320 mm,2,4,Disco,265 mm,2,Disco,840 mm,22 l,1.567 mm,,6,"102,50 mm","24,50 grados",,Brembo,Monobloque de anclaje radial,Brembo,215 kg,,Brembo,,,,,,,,,,,
167,Ducati,Multistrada V2 S Travel 2022,18.820 €,A,Trail,2022,www.ducati.es,Inyección electrónica. Acelerador Ride by Wire,Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina Sin Plomo 95,"94,00 mm",En L,Desmodrómica,Electrónico,2,4,96 nm,113 cv,Líquida,7.750 rpm,9.000 rpm,Multidisco bañado en aceite con sistema antirrebote,Cadena,"Multitubular, tipo Trellis",Hidráulico,Acero,Doble brazo de aluminio,48 mm,170 mm,Horquilla invertida regulable electrónicamente,170 mm,Monoamortiguador progresivo regulable electrónicamente,120/70 ZR 19,"3,0 x 19",170/60 ZR 17,"4,5 x 17",ABS con asistencia en curva,320 mm,2,4,Disco semiflotante,265 mm,2,Disco,830 mm,20 l,1.594 mm,2.190 mm,6,"106,00 mm","25,00 grados",,Brembo,Monobloque radial,,225 kg,,,,,,,,,,,,,
168,Ducati,Multistrada V2 S 2022,17.590 €,A,Trail,2022,www.ducati.es,Inyección electrónica. Acelerador Ride by Wire,Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina Sin Plomo 95,"94,00 mm",En L,Desmodrómica,Electrónico,2,4,96 nm,113 cv,Líquida,7.750 rpm,9.000 rpm,Multidisco bañado en aceite con sistema antirrebote,Cadena,"Multitubular, tipo Trellis",Hidráulico,Acero,Doble brazo de aluminio,48 mm,170 mm,Horquilla invertida regulable electrónicamente,170 mm,Monoamortiguador progresivo regulable electrónicamente,120/70 ZR 19,"3,0 x 19",170/60 ZR 17,"4,5 x 17",ABS con asistencia en curva,320 mm,2,4,Disco semiflotante,265 mm,2,Disco,830 mm,20 l,1.594 mm,2.190 mm,6,"106,00 mm","25,00 grados",,Brembo,Monobloque radial,,225 kg,,,,,,,,,,,,,
169,Ducati,Multistrada V2 2022,14.990 €,A,Trail,2022,www.ducati.es,Inyección electrónica. Acelerador Ride by Wire,Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina Sin Plomo 95,"94,00 mm",En L,Desmodrómica,Electrónico,2,4,96 nm,113 cv,Líquida,7.750 rpm,9.000 rpm,Multidisco bañado en aceite con sistema antirrebote,Cadena,"Multitubular, tipo Trellis",Hidráulico,Acero,Doble brazo de aluminio,48 mm,170 mm,Horquilla invertida,170 mm,Monoamortiguador progresivo,120/70 ZR 19,"3,0 x 19",170/60 ZR 17,"4,5 x 17",ABS con asistencia en curva,320 mm,2,4,Disco semiflotante,265 mm,2,Disco,830 mm,20 l,1.594 mm,2.190 mm,6,"106,00 mm","25,00 grados",,Brembo,Monobloque radial,,222 kg,,,,,,,,,,,,,
170,Ducati,Panigale V2 Troy Bayliss 2021,22.490 €,A,Deportiva,2021,www.ducati.com/es/es/,Inyección electrónica. Acelerador Ride by Wire,Eléctrico,"60,80 mm",Cuatro tiempos,955 cc,Gasolina Sin Plomo 95/98,"100,00 mm",En V,Desmodrómica,Electrónico digitalizado,2,4,104 nm,155 cv,Líquida,9.000 rpm,10.750 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo de aluminio,43 mm,130 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70 ZR 17,"17x3,5",180/60 ZR 17,"17x5,5",ABS,320 mm,2,4,Disco,245 mm,2,Disco,840 mm,17 l,1.436 mm,,6,"94,00 mm","24,00 grados",Showa BPF,Brembo Monobloque M4.32,Radial,Brembo,200 kg,Sachs,Brembo,,,,,,,,,,,
171,Ducati,1260 Diavel S Black and Steel 2021,25.190 €,A,Custom,2021,www.ducati.es,Inyección electrónica Bosch,Eléctrico,"71,50 mm",Cuatro tiempos,1.262 cc,Gasolina sin plomo 95,"106,00 mm",En L,Desmodrómica,Electrónico CDI,2,4,129 nm,162 cv,Líquida,7.500 rpm,9.500 rpm,Multidisco en baño de aceite,Cadena de retenes,Multitubular tipo Trellis,Hidraúlico,Acero,Monobrazo de aluminio,50 mm,120 mm,Horquilla telescópica invertida y multirregulable,130 mm,"Amortiguador ajustable precarga, extensión y compresión",120/70-17,"3,50 X 17""",240/45-17,"8,00 X 17",ABS con asistencia en curva,320 mm,2,4,Disco,265 mm,2,Disco,780 mm,17 l,1.600 mm,,6,"120,00 mm","27,00 grados",Ohlins,Brembo,Radial monobloque,Brembo,218 kg,Ohlins,Brembo con cilindro radial,,,,,,,,,,,
172,Ducati,Monster Plus A2 2021,12.190 €,A2,Naked,2021,www.ducati.es,Inyección electrónica,Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina Sin Plomo 95,"94,00 mm",En V a 90 grados,Desmodrómica,Electrónico,2,4,,47 cv,Líquida,,,Multidisco Antirrebote bañado en aceite,Cadena,Tipo Frot Frame con el motor como elemento portante,Hidráulico,Aluminio,Doble brazo,43 mm,130 mm,Horquilla invertida,140 mm,Monoamortiguador,120/70 ZR 17,"17 x 3,5",180/55 ZR 17,"17 x 5,5",ABS con asistencia en curva,320 mm,2,4,Disco semiflotante,245 mm,2,Disco,800 mm,14 l,1.474 mm,,6,"93,00 mm","24,00 grados",,Brembo,Monobloque de anclaje radial,Brembo,188 kg,,Brembo,,,,,,,,,,,
173,Ducati,Monster A2 2021,11.790 €,A/A2,Naked,2021,www.ducati.es,Inyección electrónica,Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina Sin Plomo 95,"94,00 mm",En V a 90 grados,Desmodrómica,Electrónico,2,4,,47 cv,Líquida,,,Multidisco Antirrebote bañado en aceite,Cadena,Tipo Frot Frame con el motor como elemento portante,Hidráulico,Aluminio,Doble brazo,43 mm,130 mm,Horquilla invertida,140 mm,Monoamortiguador,120/70 ZR 17,"17 x 3,5",180/55 ZR 17,"17 x 5,5",ABS con asistencia en curva,320 mm,2,4,Disco semiflotante,245 mm,2,Disco,800 mm,14 l,1.474 mm,,6,"93,00 mm","24,00 grados",,Brembo,Monobloque de anclaje radial,Brembo,188 kg,,Brembo,,,,,,,,,,,
174,Ducati,Monster Plus 2021,12.190 €,A/A2,Naked,2021,www.ducati.es,Inyección electrónica,Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina Sin Plomo 95,"94,00 mm",En V a 90 grados,Desmodrómica,Electrónico,2,4,93 nm,111 cv,Líquida,6.500 rpm,9.250 rpm,Multidisco Antirrebote bañado en aceite,Cadena,Tipo Frot Frame con el motor como elemento portante,Hidráulico,Aluminio,Doble brazo,43 mm,130 mm,Horquilla invertida,140 mm,Monoamortiguador,120/70 ZR 17,"17 x 3,5",180/55 ZR 17,"17 x 5,5",ABS con asistencia en curva,320 mm,2,4,Disco semiflotante,245 mm,2,Disco,800 mm,14 l,1.474 mm,,6,"93,00 mm","24,00 grados",,Brembo,Monobloque de anclaje radial,Brembo,188 kg,,Brembo,,,,,,,,,,,
175,Ducati,Monster 2021,11.790 €,A/A2,Naked,2021,www.ducati.es,Inyección electrónica,Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina Sin Plomo 95,"94,00 mm",En V a 90 grados,Desmodrómica,Electrónico,2,4,93 nm,111 cv,Líquida,6.500 rpm,9.250 rpm,Multidisco Antirrebote bañado en aceite,Cadena,Tipo Frot Frame con el motor como elemento portante,Hidráulico,Aluminio,Doble brazo,43 mm,130 mm,Horquilla invertida,140 mm,Monoamortiguador,120/70 ZR 17,"17 x 3,5",180/55 ZR 17,"17 x 5,5",ABS con asistencia en curva,320 mm,2,4,Disco semiflotante,245 mm,2,Disco,800 mm,14 l,1.474 mm,,6,"93,00 mm","24,00 grados",,Brembo,Monobloque de anclaje radial,Brembo,188 kg,,Brembo,,,,,,,,,,,
176,Ducati,1260 Diavel Lamborghini 2021,N.D.,A,Custom,2021,www.ducati.es,Inyección electrónica Bosch,Eléctrico,"71,50 mm",Cuatro tiempos,1.262 cc,Gasolina sin plomo 95,"106,00 mm",En L,Desmodrómica,Electrónico CDI,2,4,129 nm,162 cv,Líquida,7.500 rpm,9.500 rpm,Multidisco en baño de aceite,Cadena de retenes,Multitubular tipo Trellis,Hidraúlico,Acero,Monobrazo de aluminio,50 mm,120 mm,Horquilla telescópica invertida y multirregulable,130 mm,"Amortiguador ajustable precarga, extensión y compresión",120/70-17,"3,50 X 17""",240/45-17,"8,00 X 17",ABS con asistencia en curva,320 mm,2,4,Disco,265 mm,2,Disco,780 mm,17 l,1.600 mm,,6,"120,00 mm","27,00 grados",Ohlins,Brembo,Radial monobloque,Brembo,218 kg,Ohlins,Brembo con cilindro radial,,,,,,,,,,,
177,Ducati,Panigale V4 SP 2021,39.990 €,A,Deportiva,2021,http://www.ducati.es,Inyección electrónica,Eléctrico,"53,50 mm",Cuatro Tiempos,1.103 cc,Gasolina sin plomo 98,"81,00 mm",En V a 90 grados,Desmodrómica,Electrónico,4,4,124 nm,214 cv,Líquida,9.500 rpm,13.000 rpm,Multidisco en baño de aceite,Cadena,"Tipo ""front frame"" con el motor como elemento estructural",Hidráulico asistido antirrebote,Aleación de aluminio,Monobrazo de aluminio,43 mm,120 mm,Horquilla invertida,130 mm,Amortiguador,120/70-17,"3,50x17",200/60-17,"6,00x17",ABS con asistencia en curva,300 mm,2,4,Disco,245 mm,2,Disco,835 mm,16 l,1.469 mm,,6,"100,00 mm","24,50 grados",Ohlins NIX30 con Smart EC 2.0,Brembo Stylema R,"Monobloque, anclaje radial",Brembo,198 kg,Ohlins TTX36 con Smart EC 2.0,Brembo con ajuste remoto,,,,,,,,,,,
178,Ducati,Panigale V4 S 2021,31.890 €,A,Deportiva,2021,http://www.ducati.es,Inyección electrónica,Eléctrico,"53,50 mm",Cuatro Tiempos,1.103 cc,Gasolina sin plomo 98,"81,00 mm",En V a 90 grados,Desmodrómica,Electrónico,4,4,124 nm,214 cv,Líquida,9.500 rpm,13.000 rpm,Multidisco en baño de aceite,Cadena,"Tipo ""front frame"" con el motor como elemento estructural",Mecánico asistido antirrebote,Aleación de aluminio,Monobrazo de aluminio,43 mm,120 mm,Horquilla invertida,120 mm,Amortiguador,120/70-17,"3,50x17",200/60-17,"6,00x17",ABS con asistencia en curva,300 mm,2,4,Disco,245 mm,2,Disco,835 mm,16 l,1.469 mm,,6,"100,00 mm","24,50 grados",Ohlins NIX30 con Smart EC 2.0,Brembo Stylema,"Monobloque, anclaje radial",Brembo,198 kg,Ohlins TTX36 con Smart EC 2.0,Brembo,,,,,,,,,,,
179,Ducati,Panigale V4 2021,26.490 €,A,Deportiva,2021,www.ducati.com/es/es/,Inyección electrónica,Eléctrico,"53,50 mm",Cuatro Tiempos,1.103 cc,Gasolina sin plomo 98,"81,00 mm",En V a 90 grados,Desmodrómica,Electrónico,4,4,124 nm,214 cv,Líquida,9.500 rpm,13.000 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena,"Tipo ""front frame"" con el motor como elemento estructural",Hidráulico,Aleación de aluminio,Monobrazo de aluminio,43 mm,120 mm,Horquilla invertida,130 mm,Amortiguador,120/70-17,"3,50x17",200/60-17,"6,00x17",ABS con asistencia en curva,300 mm,2,4,Disco,245 mm,2,Disco,835 mm,16 l,1.469 mm,,6,"100,00 mm","24,50 grados",Showa BPF,Brembo Stylema,"Monobloque, anclaje radial",Sachs,198 kg,Sachs,Brembo,,,,,,,,,,,
180,Ducati,Panigale V2 2021,18.490 €,A,Deportiva,2021,www.ducati.com/es/es/,Inyección electrónica. Acelerador Ride by Wire,Eléctrico,"60,80 mm",Cuatro tiempos,955 cc,Gasolina Sin Plomo 95/98,"100,00 mm",En V,Desmodrómica,Electrónico digitalizado,2,4,104 nm,155 cv,Líquida,9.000 rpm,10.750 rpm,Multidisco en baño de aceite con sistema antirrebote,Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo de aluminio,43 mm,130 mm,Horquilla invertida,130 mm,Monoamortiguador,120/70 ZR 17,"17x3,5",180/60 ZR 17,"17x5,5",ABS,320 mm,2,4,Disco,245 mm,2,Disco,840 mm,17 l,1.436 mm,,6,"94,00 mm","24,00 grados",Showa BPF,Brembo Monobloque M4.32,Radial,Brembo,200 kg,Sachs,Brembo,,,,,,,,,,,
181,Ducati,Supersport 950 S 2021,15.990 €,A,Deportiva,2021,www.ducati.com/es/es/,"Inyección electrónica, acelerador ride by wire",Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina sin plomo 95/98,"94,00 mm",En L,Desmodrómica,Electrónico,2,4,93 nm,110 cv,Líquida,6.500 rpm,9.000 rpm,Multidisco en baño de aceite antirrebote,Cadena,Multitubular tipo Trellis,Hidráulico,Acero,Monobrazo de aluminio,48 mm,130 mm,Horquilla Invertida,144 mm,Monoamortiguador progresivo,120/70-17,"3,50 X 17",180/55-17,"6,50 X 17",ABS con asistencia en curva,320 mm,2,4,Disco,245 mm,2,Disco,810 mm,16 l,1.478 mm,,6,"91,00 mm","24,00 grados",Ohlins,Brembo M4-32,Anclaje radial,Brembo,210 kg,Ohlins,Brembo radial,,,,,,,,,,,
182,Ducati,Supersport 950 2021,13.990 €,A,Deportiva,2021,www.ducati.com/es/es/,"Inyección electrónica, acelerador ride by wire",Eléctrico,"67,50 mm",Cuatro Tiempos,937 cc,Gasolina sin plomo 95/98,"94,00 mm",En L,Desmodrómica,Electrónico,2,4,93 nm,110 cv,Líquida,6.500 rpm,9.000 rpm,Multidisco en baño de aceite antirrebote,Cadena,Multitubular tipo Trellis,Hidráulico,Acero,Monobrazo de aluminio,43 mm,130 mm,Horquilla Invertida,144 mm,Monoamortiguador progresivo,120/70-17,"3,50 X 17",180/55-17,"6,50 X 17",ABS con asistencia en curva,320 mm,2,4,Disco,245 mm,2,Disco,810 mm,16 l,1.478 mm,,6,"91,00 mm","24,00 grados",Marzocchi,Brembo M4-32,Anclaje radial,Brembo,210 kg,Sachs,Brembo radial,,,,,,,,,,,
183,Ducati,Multistrada V4 S Sport 2021,N.D.,A,Trail,2021,www.ducati.com/es/,"Inyección electrónica, acelerador ""ride by wire""",Eléctrico,"53,00 mm",Cuatro Tiempos,1.158 cc,Gasolina sin plomo 95/98,"83,00 mm",En V a 90 grados,DOHC,Electrónico,4,4,125 nm,170 cv,Líquida,8.750 rpm,10.500 rpm,"Multidisco en baño de aceite, antirrebote",Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo,50 mm,,Horquilla invertida Electrónica completamente ajustable,,Monoamortiguador Electrónico completamente ajustable,120/70-19,3x19,170/60-17,"4,5x17",ABS con asistencia en curva,320 mm,2,4,Disco,265 mm,2,Disco,840 mm,22 l,1.567 mm,,6,"102,50 mm","24,50 grados",,Brembo M50 Stylema,Monobloque de anclaje radial,Brembo,218 kg,,Brembo,,,,,,,,,,,
184,Ducati,Multistrada V4 S 2021,23.990 €,A,Trail,2021,www.ducati.com/es/,"Inyección electrónica, acelerador ""ride by wire""",Eléctrico,"53,00 mm",Cuatro Tiempos,1.158 cc,Gasolina sin plomo 95/98,"83,00 mm",En V a 90 grados,DOHC,Electrónico,4,4,125 nm,170 cv,Líquida,8.750 rpm,10.500 rpm,"Multidisco en baño de aceite, antirrebote",Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo,50 mm,,Horquilla invertida Electrónica completamente ajustable,,Monoamortiguador Electrónico completamente ajustable,120/70-19,3x19,170/60-17,"4,5x17",ABS con asistencia en curva,320 mm,2,4,Disco,265 mm,2,Disco,840 mm,22 l,1.567 mm,,6,"102,50 mm","24,50 grados",,Brembo M50 Stylema,Monobloque de anclaje radial,Brembo,218 kg,,Brembo,,,,,,,,,,,
185,Ducati,Multistrada V4 2021,20.890 €,A,Trail,2021,www.ducati.com/es/,"Inyección electrónica, acelerador ""ride by wire""",Eléctrico,"53,00 mm",Cuatro Tiempos,1.158 cc,Gasolina sin plomo 95/98,"83,00 mm",En V a 90 grados,DOHC,Electrónico,4,4,125 nm,170 cv,Líquida,8.750 rpm,10.500 rpm,"Multidisco en baño de aceite, antirrebote",Cadena,Monobloque,Hidráulico,Aluminio,Monobrazo,50 mm,,Horquilla invertida completamente ajustable,,Monoamortiguador completamente ajustable,120/70-19,3x19,170/60-17,"4,5x17",ABS con asistencia en curva,320 mm,2,4,Disco,265 mm,2,Disco,840 mm,22 l,1.567 mm,,6,"102,50 mm","24,50 grados",,Brembo,Monobloque de anclaje radial,Brembo,215 kg,,Brembo,,,,,,,,,,,
186,Ducati,Scrambler 1100 Pro 2020,13.790 €,A/A2,Naked,2020,http://www.ducati.es,Inyección electrónica,Eléctrico,"71,00 mm",Cuatro Tiempos,1.079 cc,Gasolina sin plomo 95,"98,00 mm",En L,Desmodrómica,Electrónico,2,2,88 nm,86 cv,Aire,4.750 rpm,7.500 rpm,Multidisco en baño de aceite,Cadena,Multitubular,Manual,Acero,Doble brazo,45 mm,150 mm,Horquilla invertida Multirregulable,150 mm,Monoamortiguador,120/80-18,"3,50x18",180/55-17,"5,50x17",ABS con asistencia en curva,320 mm,2,4,Disco,245 mm,2,Disco,810 mm,15 l,1.514 mm,2.190 mm,6,"111,00 mm","24,00 grados",Marzocchi,Brembo,Radiales Monobloque,,206 kg,Kayaba,Brembo,,,,,,,,,,,
187,Ducati,Scrambler 1100 Sport Pro 2020,15.790 €,A/A2,Naked,2020,http://www.ducati.es,Inyección electrónica,Eléctrico,"71,00 mm",Cuatro Tiempos,1.079 cc,Gasolina sin plomo 95,"98,00 mm",En L,Desmodrómica,Electrónico,2,2,88 nm,86 cv,Aire,4.750 rpm,7.500 rpm,Multidisco en baño de aceite,Cadena,Multitubular,Manual,Acero,Doble brazo,45 mm,150 mm,Horquilla invertida Multirregulable,150 mm,Monoamortiguador,120/80-18,"3,50x18",180/55-17,"5,50x17",ABS con asistencia en curva,320 mm,2,4,Disco,245 mm,2,Disco,810 mm,15 l,1.514 mm,2.190 mm,6,"111,00 mm","24,00 grados",Ohlins,Brembo,Radiales Monobloque,,206 kg,Ohlins,Brembo,,,,,,,,,,,
188,Ducati,Panigale V4 Superleggera 2020,N.D.,A,Deportiva,2020,http://www.ducati.es,Inyección electrónica,Eléctrico,"48,40 mm",Cuatro Tiempos,998 cc,Gasolina sin plomo 98,"81,00 mm",En V a 90 grados,Desmodrómica,Electrónico,4,4,116 nm,234 cv,Líquida,11.750 rpm,15.250 rpm,Multidisco en baño de aceite,Cadena,"Tipo ""front frame"" con el motor como elemento estructural",Mecánico asistido,Fibra de carbono,Monobrazo en fibra de carbono,43 mm,120 mm,Horquilla invertida,120 mm,Amortiguador,120/70-17,"3,50x17",200/60-17,"6,00x17",ABS con asistencia en curva,300 mm,2,4,Disco,245 mm,2,Disco,835 mm,16 l,1.480 mm,,6,"100,00 mm","24,50 grados",Ohlins NPX25/30,Brembo Stylema,"Monobloque, anclaje radial",Brembo,159 kg,Ohlins TTX36,Brembo,,,,,,,,,,,
